Load GaoDataSet from /home/sagemaker-user/BigDataSys-Project8/SolubNet/SolubNetD/dataset/Delaney1144.csv ... done (1145 lines, 9.560 seconds) 
# of training graphs/labels:      1030
# of teating graphs/labels:      114
Training Started ...
******************** 1  fold ing.... ********************
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch       TrainLoss        TrainMAE       TrainRMSE         TrainR2         TrainCC       ValidLoss        ValidMAE       ValidRMSE         ValidR2         ValidCC         Time(s)
       109           0.665           0.580           0.761           0.867           0.934           0.610           0.537           0.700           0.896           0.933         285.086
       110           0.667           0.582           0.762           0.867           0.934           0.614           0.539           0.703           0.895           0.931         287.705
       111           0.668           0.582           0.763           0.866           0.934           0.613           0.539           0.703           0.895           0.931         290.324
       112           0.666           0.580           0.761           0.867           0.934           0.609           0.536           0.698           0.896           0.933         292.960
       113           0.665           0.580           0.761           0.867           0.934           0.611           0.538           0.701           0.896           0.932         295.587
       114           0.665           0.579           0.760           0.867           0.934           0.606           0.534           0.696           0.897           0.933         298.219
       115           0.664           0.579           0.759           0.868           0.934           0.610           0.538           0.699           0.896           0.932         300.849
       116           0.664           0.579           0.759           0.868           0.935           0.607           0.536           0.697           0.897           0.933         303.495
       117           0.662           0.578           0.758           0.868           0.935           0.609           0.536           0.698           0.896           0.932         306.132
       118           0.663           0.578           0.758           0.868           0.935           0.607           0.536           0.697           0.897           0.933         308.766
       119           0.662           0.577           0.757           0.868           0.935           0.607           0.535           0.696           0.897           0.932         311.414
       120           0.662           0.577           0.758           0.868           0.935           0.602           0.532           0.692           0.898           0.933         314.070
       121           0.660           0.576           0.755           0.869           0.935           0.607           0.535           0.697           0.897           0.933         316.703
       122           0.661           0.577           0.757           0.869           0.935           0.603           0.532           0.692           0.898           0.934         319.372
       123           0.660           0.575           0.755           0.869           0.935           0.603           0.532           0.693           0.898           0.933         322.086
       124           0.659           0.575           0.755           0.869           0.936           0.602           0.531           0.692           0.898           0.933         324.717
       125           0.659           0.575           0.754           0.869           0.936           0.608           0.535           0.697           0.897           0.932         327.354
       126           0.658           0.574           0.753           0.870           0.936           0.602           0.531           0.692           0.898           0.933         330.023
       127           0.658           0.574           0.754           0.870           0.936           0.607           0.534           0.696           0.897           0.932         332.650
       128           0.659           0.574           0.754           0.869           0.936           0.604           0.532           0.694           0.898           0.933         335.290
       129           0.657           0.573           0.753           0.870           0.936           0.607           0.535           0.696           0.897           0.931         337.949
       130           0.656           0.572           0.752           0.870           0.936           0.601           0.530           0.691           0.898           0.933         340.585
       131           0.656           0.572           0.751           0.870           0.936           0.607           0.534           0.696           0.897           0.933         343.225
       132           0.655           0.572           0.751           0.871           0.936           0.602           0.531           0.692           0.898           0.933         345.857
       133           0.656           0.572           0.751           0.870           0.936           0.603           0.531           0.692           0.898           0.933         348.518
       134           0.655           0.571           0.750           0.871           0.937           0.601           0.530           0.691           0.899           0.933         351.163
       135           0.655           0.571           0.750           0.871           0.937           0.602           0.530           0.692           0.898           0.932         353.805
       136           0.653           0.570           0.749           0.871           0.937           0.607           0.535           0.696           0.897           0.932         356.459
       137           0.653           0.570           0.749           0.871           0.937           0.600           0.529           0.690           0.899           0.933         359.098
       138           0.651           0.569           0.747           0.872           0.937           0.605           0.532           0.695           0.897           0.932         361.798
       139           0.653           0.570           0.748           0.872           0.937           0.603           0.531           0.693           0.898           0.932         364.432
       140           0.651           0.568           0.747           0.872           0.938           0.601           0.530           0.691           0.899           0.933         367.089
       141           0.651           0.568           0.746           0.872           0.937           0.603           0.531           0.692           0.898           0.933         369.736
       142           0.651           0.569           0.747           0.872           0.937           0.597           0.527           0.687           0.900           0.933         372.371
       143           0.653           0.569           0.748           0.871           0.937           0.599           0.529           0.689           0.899           0.932         375.042
       144           0.651           0.568           0.747           0.872           0.937           0.600           0.530           0.690           0.899           0.932         377.719
       145           0.649           0.566           0.744           0.873           0.938           0.598           0.528           0.688           0.899           0.933         380.377
       146           0.649           0.567           0.744           0.873           0.938           0.602           0.531           0.692           0.898           0.933         383.016
       147           0.650           0.568           0.745           0.872           0.938           0.599           0.528           0.689           0.899           0.934         385.611
       148           0.649           0.567           0.745           0.873           0.938           0.597           0.528           0.687           0.900           0.933         388.203
       149           0.649           0.567           0.745           0.873           0.938           0.597           0.528           0.687           0.900           0.933         390.805
       150           0.639           0.558           0.736           0.876           0.940           0.575           0.526           0.666           0.906           0.936         393.415
       151           0.630           0.549           0.728           0.878           0.942           0.571           0.521           0.662           0.907           0.936         396.013
       152           0.630           0.552           0.727           0.879           0.941           0.579           0.524           0.669           0.905           0.935         398.612
       153           0.633           0.552           0.730           0.878           0.941           0.573           0.520           0.664           0.906           0.936         401.290
       154           0.631           0.552           0.728           0.878           0.941           0.577           0.523           0.668           0.905           0.935         403.896
       155           0.631           0.551           0.728           0.878           0.941           0.576           0.521           0.667           0.906           0.935         406.499
       156           0.630           0.551           0.727           0.879           0.942           0.578           0.521           0.669           0.905           0.936         409.103
       157           0.626           0.547           0.723           0.880           0.943           0.567           0.521           0.658           0.908           0.937         411.718
       158           0.621           0.545           0.718           0.881           0.944           0.570           0.521           0.660           0.907           0.937         414.319
       159           0.622           0.545           0.720           0.881           0.943           0.571           0.522           0.661           0.907           0.937         416.917
       160           0.623           0.545           0.720           0.881           0.943           0.570           0.520           0.661           0.907           0.937         419.527
       161           0.623           0.545           0.720           0.881           0.943           0.572           0.522           0.662           0.907           0.936         422.142
       162           0.623           0.545           0.720           0.881           0.943           0.570           0.519           0.661           0.907           0.937         424.780
       163           0.618           0.541           0.715           0.883           0.944           0.567           0.518           0.657           0.908           0.938         427.394
       164           0.615           0.540           0.713           0.883           0.945           0.569           0.521           0.660           0.907           0.938         430.011
       165           0.615           0.540           0.712           0.883           0.945           0.568           0.519           0.658           0.908           0.938         432.642
       166           0.615           0.540           0.713           0.883           0.945           0.567           0.517           0.657           0.908           0.939         435.243
       167           0.615           0.540           0.712           0.884           0.945           0.568           0.519           0.659           0.908           0.938         437.882
       168           0.615           0.540           0.712           0.884           0.945           0.566           0.517           0.657           0.908           0.939         440.612
       169           0.616           0.540           0.713           0.883           0.945           0.569           0.519           0.659           0.908           0.938         443.268
       170           0.611           0.537           0.708           0.885           0.946           0.564           0.513           0.654           0.909           0.939         445.919
       171           0.610           0.537           0.708           0.885           0.946           0.567           0.516           0.658           0.908           0.938         448.588
       172           0.610           0.536           0.707           0.885           0.946           0.566           0.517           0.657           0.908           0.939         451.250
       173           0.610           0.537           0.708           0.885           0.946           0.567           0.517           0.658           0.908           0.939         453.937
       174           0.611           0.537           0.708           0.885           0.946           0.566           0.516           0.657           0.908           0.939         456.617
       175           0.610           0.536           0.708           0.885           0.946           0.567           0.517           0.658           0.908           0.939         459.290
       176           0.610           0.536           0.707           0.885           0.946           0.565           0.515           0.656           0.908           0.940         461.945
       177           0.606           0.533           0.703           0.886           0.947           0.565           0.513           0.656           0.908           0.939         464.595
       178           0.606           0.534           0.703           0.887           0.947           0.566           0.512           0.657           0.908           0.939         467.363
       179           0.606           0.534           0.703           0.887           0.947           0.566           0.513           0.657           0.908           0.939         470.017
       180           0.606           0.534           0.703           0.886           0.947           0.565           0.513           0.655           0.909           0.939         472.657
       181           0.606           0.534           0.703           0.886           0.947           0.569           0.515           0.659           0.908           0.938         475.325
       182           0.606           0.533           0.703           0.886           0.947           0.565           0.513           0.656           0.909           0.939         477.982
       183           0.603           0.532           0.700           0.887           0.947           0.568           0.515           0.659           0.908           0.938         480.693
       184           0.603           0.532           0.700           0.887           0.947           0.569           0.518           0.660           0.907           0.938         483.362
       185           0.603           0.532           0.700           0.887           0.947           0.569           0.518           0.660           0.908           0.938         486.007
       186           0.602           0.531           0.700           0.888           0.947           0.567           0.517           0.657           0.908           0.939         488.661
       187           0.603           0.531           0.700           0.888           0.947           0.568           0.517           0.659           0.908           0.938         491.314
       188           0.602           0.531           0.700           0.888           0.947           0.566           0.516           0.657           0.908           0.940         494.008
       189           0.603           0.531           0.700           0.888           0.947           0.567           0.517           0.658           0.908           0.939         496.669
       190           0.603           0.531           0.700           0.888           0.947           0.567           0.517           0.658           0.908           0.940         499.370
       191           0.600           0.529           0.698           0.888           0.948           0.567           0.520           0.658           0.908           0.939         502.011
       192           0.600           0.529           0.697           0.888           0.948           0.568           0.521           0.659           0.908           0.939         504.618
       193           0.600           0.528           0.697           0.889           0.948           0.567           0.520           0.657           0.908           0.940         507.225
       194           0.599           0.528           0.696           0.889           0.948           0.567           0.520           0.658           0.908           0.939         509.856
       195           0.599           0.528           0.696           0.889           0.948           0.565           0.518           0.656           0.909           0.940         512.446
       196           0.598           0.528           0.696           0.889           0.948           0.565           0.518           0.656           0.908           0.939         515.007
       197           0.598           0.527           0.696           0.889           0.948           0.568           0.521           0.659           0.908           0.939         517.572
       198           0.599           0.528           0.696           0.889           0.948           0.566           0.520           0.657           0.908           0.940         520.220
       199           0.599           0.528           0.696           0.889           0.948           0.566           0.519           0.657           0.908           0.939         522.781
       200           0.598           0.527           0.695           0.889           0.948           0.567           0.519           0.658           0.908           0.940         525.337
       201           0.598           0.527           0.696           0.889           0.948           0.566           0.518           0.657           0.908           0.939         527.904
       202           0.597           0.526           0.695           0.889           0.948           0.566           0.518           0.657           0.908           0.940         530.483
       203           0.598           0.527           0.695           0.889           0.948           0.566           0.519           0.657           0.908           0.940         533.040
       204           0.597           0.526           0.695           0.889           0.948           0.566           0.519           0.657           0.908           0.940         535.598
       205           0.598           0.526           0.695           0.889           0.948           0.566           0.519           0.657           0.908           0.940         538.161
       206           0.597           0.526           0.695           0.889           0.948           0.566           0.520           0.657           0.908           0.941         540.744
       207           0.598           0.527           0.696           0.889           0.948           0.567           0.521           0.658           0.908           0.941         543.301
       208           0.598           0.526           0.695           0.889           0.948           0.567           0.520           0.658           0.908           0.941         545.867
       209           0.596           0.525           0.694           0.889           0.948           0.564           0.519           0.655           0.909           0.941         548.429
       210           0.594           0.524           0.692           0.890           0.949           0.564           0.518           0.655           0.909           0.941         551.025
       211           0.594           0.523           0.691           0.890           0.949           0.565           0.519           0.656           0.908           0.940         553.605
       212           0.593           0.523           0.690           0.891           0.949           0.564           0.517           0.655           0.909           0.940         556.175
       213           0.594           0.523           0.691           0.890           0.949           0.565           0.518           0.655           0.909           0.940         558.788
       214           0.594           0.524           0.691           0.890           0.949           0.566           0.520           0.657           0.908           0.941         561.441
       215           0.594           0.523           0.692           0.890           0.949           0.565           0.518           0.655           0.909           0.941         564.020
       216           0.593           0.523           0.690           0.891           0.949           0.565           0.518           0.656           0.909           0.941         566.586
       217           0.593           0.523           0.691           0.890           0.949           0.565           0.518           0.656           0.909           0.940         569.179
       218           0.592           0.522           0.690           0.891           0.949           0.563           0.517           0.654           0.909           0.941         571.752
       219           0.593           0.522           0.691           0.890           0.949           0.564           0.518           0.655           0.909           0.940         574.321
       220           0.593           0.522           0.690           0.891           0.949           0.566           0.519           0.657           0.908           0.941         576.895
       221           0.593           0.522           0.691           0.890           0.949           0.568           0.521           0.658           0.908           0.941         579.492
       222           0.592           0.522           0.690           0.891           0.949           0.566           0.519           0.657           0.908           0.941         582.067
       223           0.593           0.522           0.690           0.891           0.949           0.565           0.517           0.656           0.909           0.940         584.643
       224           0.592           0.522           0.689           0.891           0.949           0.564           0.517           0.655           0.909           0.942         587.221
       225           0.592           0.522           0.690           0.891           0.949           0.564           0.517           0.655           0.909           0.940         589.818
       226           0.592           0.521           0.690           0.891           0.949           0.563           0.517           0.654           0.909           0.941         592.398
       227           0.592           0.522           0.690           0.891           0.949           0.565           0.518           0.656           0.909           0.941         594.977
       228           0.592           0.522           0.690           0.891           0.949           0.566           0.520           0.657           0.908           0.941         597.551
       229           0.590           0.520           0.688           0.891           0.949           0.559           0.512           0.650           0.910           0.941         600.210
       230           0.589           0.520           0.687           0.892           0.950           0.561           0.512           0.652           0.910           0.941         602.789
       231           0.589           0.520           0.687           0.892           0.950           0.562           0.514           0.653           0.909           0.940         605.361
       232           0.589           0.519           0.686           0.892           0.950           0.561           0.512           0.652           0.910           0.941         607.945
       233           0.589           0.520           0.687           0.892           0.949           0.563           0.515           0.654           0.909           0.941         610.541
       234           0.589           0.519           0.687           0.892           0.949           0.563           0.515           0.654           0.909           0.941         613.141
       235           0.588           0.519           0.686           0.892           0.950           0.560           0.512           0.651           0.910           0.942         615.723
       236           0.589           0.519           0.687           0.892           0.950           0.563           0.514           0.654           0.909           0.941         618.357
       237           0.589           0.520           0.687           0.892           0.950           0.563           0.515           0.654           0.909           0.941         620.949
       238           0.588           0.519           0.686           0.892           0.950           0.563           0.514           0.654           0.909           0.941         623.520
       239           0.588           0.519           0.686           0.892           0.950           0.561           0.513           0.652           0.910           0.942         626.106
       240           0.588           0.519           0.686           0.892           0.950           0.563           0.515           0.654           0.909           0.941         628.702
